Material de construção|-5.8413|-35.2010|Concreto, brita, tijolo (metralha)|Ciclovia do Setor III, em frente ao CB.|Não perigosos inertes
Plástico|-5.8405|-35.2010|Garrafa |Rotatória da Reitoria |Não perigosos não-inertes
Plástico|-5.8404|-35.2008|Copo descartável, prato de isopor|Estacionamento do Setor III|Não perigosos não-inertes
Matéria orgânica, plástico |-5.8404|-35.2005|Acumulo de água, resíduos orgânicos e plástico - Área de infiltração  |Estacionamento do Setor III, de frente a entrada do Centro de Convivência|Não perigosos não-inertes
Plástico|-5.8404|-35.2005|Lixeira aberta: copo descartável, sacola|Estacionamento do Setor III, de frente ao Centro de Convivência|Não perigosos não-inertes
 Plástico, matéria orgânica|-5.8404|-35.1998|Lona pástica, balde, copo descartável|Laboratório de Cimentos e Poços, em frente ao Centro de Convivência|Não perigosos não-inertes
Plástico, Material de construção|-5.8391|-35.1989|Isopor, sacola plástica, material de construção|Em frente a Biblioteca|Não perigosos não-inertes, Não perigosos inertes
Plástico|-5.8386|-35.1989|Copo descartável, garrafa PET 500ml|Em frente ao SEPA - Psicologia|Não perigosos não-inertes
 Plástico, material de construção|-5.8386|-35.1989|Copo descartável, metralha|Em frente ao SEPA - Psicologia|Não perigosos não-inertes, Não perigosos inertes
Plástico, material de construção|-5.8384|-35.1986|Copo descartável, garrafa PET 500ml|Lateral do SEPA - Psicologia|Não perigosos não-inertes, Não perigosos inertes
Metal|-5.8384|-35.1986||Lateral do SEPA - Psicologia|Perigosos
Plástico|-5.8384|-35.1985|Garrafa plástica|Estacionamento Setor V|Não perigosos não-inertes
Matéria orgânica |-5.8403|-35.2009|Poda de árvore (cajueiro)|Calçada do Centro de Convivência, por trás do Relógio do sol|Não perigosos não-inertes
Inorgânico: material de construção|-5.8403|-35.2009|Areia, Cimento, Tijolo|Calçada do Centro de Convivência, por trás do Relógio do sol|Não perigosos inertes
Papel, Plástico, metal, madeira|-5.8401|-35.1996|Copo descartável, porta de madeira, entulho de metal |Estacionamento entre BCZM e Centro de Convivência|Perigosos, Não perigosos não-inertes
Plástico|-5.8397|-35.1990|Embalagem de biscoito|Em frente a BCZM (Calçada)|Não perigosos não-inertes
Plástico, material de construção|-5.8386|-35.1988|Cimento, areia, tubo plástico|Por trás do CCSA|Não perigosos não-inertes, Não perigosos inertes
Plástico|-5.8381|-35.1981|Garrafa plástica|Em frente ao setor V|Não perigosos não-inertes
Inorgânico (Material de construção) e metal|-5.8385|-35.1996|Cimento, cerâmica, lata de tinta|Calçada do Centro de Convivência, em frente a lateral do Setor I|Perigosos, Não perigosos inertes
Papel , Plástico|-5.8388|-35.1998|Papelão, isopor , corpo descartável, sacos de lixo|Calçada do Centro de Convivência, em frente a lateral do Setor I|Não perigosos não-inertes
Papel|-5.8388|-35.1998|Papelão |Calçada do Centro de Convivência, em frente a lateral do Setor I|Não perigosos não-inertes
Plástico |-5.8418|-35.2007|Saco de salgadinho, marmitex, copo descartável, papel|Placa Setor III|Não perigosos não-inertes
 Papel, Plástico, Vidro|-5.8419|-35.2005|Compensado, caixas de papelão, tábuas, pedaços de vidro.|Setor III, lateral da cantina.|Não perigosos não-inertes
Plástico, Papel, inorgânico |-5.8417|-35.2004|Restos de cerâmica, prato descartável, caixa de papelão|Setor III, lateral da cantina.|Não perigosos não-inertes e Não perigosos inertes
Plástico|-5.8418|-35.2001|Copos, colheres e pratos descartáveis, canudos, sachês, garrafas, |Setor III, mesas da cantina e arredores.|Não perigosos não-inertes
Plástico e materia orgânica|-5.8416|-35.2000|Copos descartáveis e sacolas; folhas de cajueiro acumulando água.|Setor III, lateral do bloco H.|Não perigosos não-inertes
Plástico|-5.8416|-35.2000|Copos descartáveis e sacos de salgadinho, isopor.|Setor III, por trás do bloco H.|Não perigosos não-inertes
Plástico |-5.8411|-35.1998|Garrafa de água mineral|Lapet - parte da frente|Não perigosos não-inertes
Plástico |-5.8408|-35.1999|Copos descartáveis, garrafa, sacos de salgadinho e pipoca|Lapet - Biblioteca Prof. Francisco Gurgel de Azevedo|Não perigosos não-inertes
Material de construção|-5.8406|-35.1998|Areia, tijolo|Núcleo Tecnológico em Cimentação e Poços de Petróleo|Não perigosos inertes
Plástico, metal, papel, material de construção, luminária (lâmpada)|-5.8406|-35.1986|Cerâmica, luminária, papel, filtro de cigarro |Laboratório de Química I (placa)|Perigosos,Não perigosos não-inertes,Não perigosos inertes
Plástico, Papel|-5.8407|-35.1980|Copos e pratos descatáveis, papelão |Estacionamento Setor II|Não perigosos não-inertes
Plástico |-5.8414|-35.1979|Saco, copo descatável, pacote vitamilho, carteira de cigarro|Departamento de Física|Não perigosos não-inertes
Plástico |-5.8418|-35.1980|Saco, copo descatável, pacote vitamilho, carteira de cigarro|Lateral do Dep. De Física|Não perigosos não-inertes
Plástico|-5.8422|-35.1982|Lixeira aberta: copo descartável, sacola|LARHISA|Não perigosos não-inertes
Plástico, papel|-5.8419|-35.2005| Embalagem de pipoca, confeito, copo descartável, saco, papelão, garrafa|Trevo cantina do Setor III|Não perigosos não-inertes
Plástico |-5.8419|-35.1999|Copos e colheres descartáveis |Lateral Setor IV|Não perigosos não-inertes
Plástico, Papel|-5.8420|-35.2000|Guardanapo, ofício, copo descartável, cigarro, canudo |Setor IV|Não perigosos não-inertes
Plástico, vidro, papel, metal, inorgânico |-5.8418|-35.1998|Arrame, garrafa, copo e colher descartável, isopor, clip, papel, tampa plástica, garrafa de cerveja|Setor III|Não perigosos não-inertes
Plástico|-5.8416|-35.1998|Capa de fios, fita isolante|Setor III|Não perigosos não-inertes
Vidro, plástico, inorgânico, orgânico |-5.8414|-35.1998|Vidro (panela), cabo de pincel, isopor, carteira de cigarro, folhas de palmeira , sacos plásticos, copo descartáel|Atrás da NUPPRAR|Não perigosos não-inertes
Orgânico, plástico |-5.8413|-35.1997|Madeira, pacote de chocolate |Atrás da NUPPRAR|Não perigosos não-inertes
Papel, metal, plástico |-5.8412|-35.1995|Papelão, papel, caixa de remédio, copo descartável, PVC, garrafas, cigarro, caixa. |Atrás do Laboratório de Química|Não perigosos não-inertes
Orgânico, inorgânico, vidro, papel, plástico, |-5.8407|-35.1996|Coco, cano, pedaços de mangueira de irrigação, isopor, tubo de cola, papel, copo descartável, sacos plástico, caixa de papelão.|Departamento de Cimento |Não perigosos não-inertes
Inorgânico, plástico, papel|-5.8405|-35.1993|Papelão, isopor, cano PVC, papel de confeito,camisinha, papel|Laboratório de Química II|Não perigosos não-inertes
Plástico, inorgânico|-5.8406|-35.1989|Jarro de cimento, copo descartável, curativo, caixa de leite|Rotatória da Biblioteca BCZM|Não perigosos não-inertes
Plástico, papel, orgânico |-5.8407|-35.1986|Saco plástico, papel, garrafa, folhas, caixa de HALLS, embalagem de cimento, copo descartável, cano plástico|Em frente NUPETRÓLEO|Não perigosos não-inertes
Plástico, papel, metal, inorgânico |-5.8407|-35.1981|Copos e colhes descartáveis, fecho de porta, caixa de achocolatado, garrafas, sacola, papel, isopor, alumínio|Em frente ao estacionamento de moto do Setor II|Não perigosos não-inertes
Plástico, papel, orgânico, inorgânico |-5.8412|-35.1980|Sacos plásticos, garrafa, copo descartável, coco, isopor|Lateral do Dep. de Física, entre o Dep. E o Setor II.|Não perigosos não-inertes
Vidro, plástico, papel, inorgânico, metal|-5.8421|-35.1985|Aluminío, madeira, lata de leite , isopor, sacos, panfletos, copos e colheres  descartáveis, perciana/cortina, cabo de vassoura , vidro, papel de confeito,  embalagem de salgadinho, caixa de papelão|Lateral do Dep. de Física, entre o Dep. E o Setor II.|Não perigosos não-inertes
Orgânico |-5.8331|-35.2046|Matéria vegetal, madeira (móveis). Grandes quantidades.|Por trás da Residência Campus IV, obra próximo a mata da CAERN.|Não perigosos não-inertes e Não perigosos inertes
Papel , Plástico|-5.8329|-35.2050|Papelão (caixas), sacolas|Estacionamento IMD - Final|Não perigosos não-inertes
Plástico|-5.8320|-35.2046|Garrafa de água mineral, sacola.|Em frente a Residência Universitária|Não perigosos não-inertes
Papel, orgânico, inorgânico |-5.8337|-35.2032|Papelão (sacos de cimento), material de construção, madeira |Estacionamento RU|Não perigosos não-inertes e Não perigosos inertes
Inorgânico|-5.8342|-35.2030|Material de construção, cimento.|Escola de Saúde Coletiva, rotatória RU|Não perigosos inertes
Papel, inorgânico |-5.8346|-35.2031|Material de construção, papelão (sacos de cimento)|Próximo a Superintendência de Infraestrutura |Não perigosos não-inertes e Não perigosos inertes
Plástico, metal, inorgânico, papel|-5.8351|-35.2030|Garrafa de água, recipiente plástico de doce goiabada , material de construçã, papelão (sacos de cimento)|Próximo ao Ginásio UFRN|Perigosos, Não perigosos não-inertes e Não perigosos inertes
Plástico, papel |-5.8357|-35.2028|Copo descartável, saquinhos de doce, papelão (sacos de cimento)|Próximo ao Ginásio UFRN, lado da ciclovia|Não perigosos não-inertes
Plástico|-5.8363|-35.2022|Quentinha-isopor|Próximo a Residência da Pós, descida da ciclovia|Não perigosos não-inertes
Orgânico, plástico, papel|-5.8365|-35.2019|Material vegetal, canos PVC, copo descartável, caixa de papel, lata de tinta, garrafa de água|Parada da Educação Física|Não perigosos não-inertes
Orgânico, plástico, papel|-5.8370|-35.2017|Sacolas (plântulas), material vegetal, copo descartável, papelão|Próximo a Residência da Pós|Não perigosos não-inertes
Papel, metal |-5.8371|-35.2014|Papelão (sacos de cimento), latinha de refrigerante |Em frente ao campo de futebol, lado oposto ao campo.|Perigosos, Não perigosos não-inertes
Papel, inorgânico |-5.8377|-35.2010|Papelão (sacos de cimento), material de construção |Em frente a entrada do Dep. De Comunicação social|Não perigosos não-inertes e Não perigosos inertes
Plástico |-5.8379|-35.2009|Copo de suco industrializado, copo descartável |Calçada lateral do Dep. De Comunicação|Não perigosos não-inertes
Orgânico, plástico|-5.8382|-35.2009|Matéria vegetal, copo descartável, garrafa|Lateral do Dep. de Comunicação, próximo a parada da reitoria - inverso. |Não perigosos não-inertes
Plástico, metal |-5.8385|-35.2012|Garrafa, copo descartável, colher, canudo, embalagem de achocolatado, saco de pipoca, lata de refrigerante, pote de açaí.|Parada da Reitoria - inverso|Perigosos, Não perigosos não-inertes
Orgânico, plástico, metal , papel|-5.8387|-35.2014|Coco e canudo, material de construção, lainha de refrigerante, papelão (sacos de cimento)|Estacionamento Reitoria|Não perigosos não-inertes
Papel, plástico, orgânico|-5.8374|-35.2004|Papel, material vegetal, embalagem de biscoito, |Estacionamento Setor I, próx. Ao campo de futebol, em frente a placa do CCSA|Não perigosos não-inertes
Plástico |-5.8378|-35.2003|Embalagem de biscoito, copo descartável, isopor, embalagem trufas,|Praça Setor I, lado do campo de futebol|Não perigosos não-inertes
Plástico, metal|-5.8380|-35.1995|Garrafa de refrigerante, copo descartável, canudo, saco de pipoca, latinha de refrigerante, pote de açaí|Lateral da cantina do Setor I|Perigosos e Não perigosos não-inertes
Inorgânico , plástico |-5.8420|-35.2010|Material de construção, plástico, pote de açaí, garrafa, canudo|Entrada do CB - Prédio anexo |Não perigosos não-inertes , Não perigosos inertes
Papel, plástico|-5.8421|-35.2006|Papelão (caixa de papel ofício), copo descartável|Calçada que contorna a Florestinha. Em frente a entrada do Setor IV.|Não perigosos não-inertes
Papel, plástico, orgânico|-5.8431|-35.2000|Papelão, copo descartável, colher, canudo, garrafa, matéria orgânica, sacos de pipoca|Estacionamento do Setor IV|Não perigosos não-inertes
Papel, plástico|-5.8435|-35.1998|Garrafa , copo descartável, guardanapo|Parada ECT - direto|Não perigosos não-inertes
Papel, plástico|-5.8438|-35.1999|Colher, saco de pipoca, guardanapo|Parada ECT - inverso|Não perigosos não-inertes
Plástico|-5.8374|-35.1973|Pote de açaí, garrafa, colher, copo descartável|Parada Setor I - Anel viário|Não perigosos não-inertes
Plástico, orgânico|-5.8400|-35.1970|Copo descartável, matéria vegetal, garrafa|Setor II, lateral do bloco H |Não perigosos não-inertes
Papel, plástico, orgânico|-5.8397|-35.1957|Colher, tampa de garrafa, coco e canudo, guardanapo, prato descartável|Parada do Setor II - anel viário |Não perigosos não-inertes
Inorgânico, plástico |-5.8399|-35.1961|Material de construção, isopor, balde de plástico, mangueira de irrigação.|Parada do Setor II - descida p parada |Não perigosos não-inertes e Não perigosos inertes
Plástico|-5.8387|-35.1987|Copo, prato e colher descartável, garrafa|Praça Setor da Psicologia|Não perigosos não-inertes